Name,Description,Expected Datatype,,
Visit ID,Unique identifier for each ER visit. Each patient may have multiple visit IDs if they return for different incidents.,String,,
Patient ID,Links each visit to a corresponding patient record from Hospital_Patients.csv.,String,,
Hospital ID,"Identifies which hospital location (e.g., MC_ER001_East or MC_ER002_West) handled the visit.",String,,
Arrival Time,Timestamp recording when the patient arrived at the ER. Format varies to simulate manual entry inconsistencies.,DateTime,,
Registration Start,Timestamp marking when registration began for the patient. Used to measure administrative efficiency.,DateTime,,
Registration End,Timestamp marking when registration ended for the patient.,DateTime,,
Triage Start,Records when triage assessment began. Duration between these indicates triage workload.,DateTime,,
Triage End,Records when triage assessment ended. Duration between start and end indicates triage efficiency.,DateTime,,
Doctor Seen,"Timestamp for when the patient first saw a doctor,provider, physician. ",DateTime,,
Exit Time,"Timestamp for when the patient left the ERâ€”either discharged, admitted, or transferred.",DateTime,,
Triage Level,"Categorical indicator of patient severity using a four-level system:1,2,3,4. Some inconsistencies are present due to staff entry errors and natural variations between shifts, reflecting real-world data challenges.",String / Integer (prefrence for analysis),,